# address	name	source  (dream-translate symbols; edit freely, keep tabs)
0x0c15f964	_kdSendFrame	fid
0x0c15fc14	_kdRecvFrame	fid
0x0c15fe34	_kdGetDevice	fid
0x0c15fe46	_kdGetDeviceInfo	fid
0x0c15fe62	_mpdrv_stat	ghidra
0x0c15ffcc	_kdSetBlockWrite	fid
0x0c16010e	_mpdrv_ischanged	ghidra
0x0c16011a	_kdDevGetFD	fid
0x0c16014a	_kdDevGetControllerInfo	fid
0x0c160262	_kdDevGetLCDInfo	fid
0x0c160308	_kdDevGetGunInfo	fid
0x0c160352	_kdDevGetVibrationInfo	fid
0x0c16038a	_kdSetDriverMode	fid
0x0c1604c6	_kdSetHandler	fid
0x0c161298	_vmsfs_c_setcompletecallback	fid
0x0c1612b4	_vmsfs_c_setprogresscallback	fid
0x0c1612ec	_vmsfs_c_getstate	fid
0x0c1612fc	_vmsfs_c_setfunc	fid
0x0c16130c	_vmsfs_c_setparam	fid
0x0c16135c	_vmsfs_c_setfname	fid
0x0c1613d2	_vmsfs_c_settime	fid
0x0c1618b6	_vmsfs_ismount	fid
0x0c161b52	_vmsfs_unmount	fid
0x0c161b7c	_vmsfs_fgetinfo	fid
0x0c16206e	_vmsfs_getinfo	fid
0x0c162188	_vmsfs_diskfree	fid
0x0c16236c	_vmsfs_fopen	fid
0x0c16247e	_vmsfs_xcreate	fid
0x0c1625e2	_vmsfs_fcreate	fid
0x0c16272a	_vmsfs_fsetparam	fid
0x0c162d92	_vmsfs_fisexist	fid
0x0c162e50	_vmsfs_findfirst	fid
0x0c162f48	_vmsfs_findnext	fid
0x0c163030	_vmsfs_findfirst_ex	fid
0x0c16316e	_vmsfs_findnext_ex	fid
0x0c1639a8	_vmsfs_fgetsize	fid
0x0c163a42	_vmsfs_xfind	fid
0x0c163afa	_vmsfs_isformat	fid
0x0c16577e	_ADXAMP_Destroy	fid
0x0c1659d0	_ADXCRS_Lock	fid
0x0c1659f8	_ADXCRS_Unlock	fid
0x0c165a28	_ADX_GetCoefficient	fid
0x0c165aac	_ADX_DecodeInfo	fid
0x0c165bcc	_ADX_DecodeInfoExADPCM2	fid
0x0c165c32	_ADX_DecodeInfoExLoop	fid
0x0c165dc6	_ADXERR_CallErrFunc	fid
0x0c165e1c	_mwRnaInit	ghidra
0x0c165e4c	_mwRnaSetTransSw	ghidra
0x0c165e52	_mwRnaSetPlaySw	ghidra
0x0c165e58	_mwRnaGetTime	ghidra
0x0c165e5e	_mwRnaGetNumData	ghidra
0x0c165e70	_mwRnaExecServer	ghidra
0x0c165e7c	_mwRnaSetNumChan	ghidra
0x0c165e82	_mwRnaSetSfreq	ghidra
0x0c165e88	_mwRnaSetOutVol	ghidra
0x0c165e8e	_mwRnaSetOutPan	ghidra
0x0c165e94	_mwRnaSetBitPerSmpl	ghidra
0x0c165ec8	_ADXRNA_SetStmHdInfo	fid
0x0c165f40	_ADXSJD_Init	fid
0x0c165f5e	_adxsjd_clear	fid
0x0c1660c8	_ADXSJD_Start	fid
0x0c1660de	_ADXSJD_Stop	fid
0x0c1660f8	_adxsjd_decode_prep	fid
0x0c166280	_adxsjd_decexec_start	fid
0x0c1664ee	_ADXSJD_ExecHndl	fid
0x0c16653c	_ADXSJD_ExecServer	fid
0x0c166584	_ADXSJD_EntryTrapFunc	fid
0x0c1665c6	_ADXSJD_GetNumChan	fid
0x0c1665d2	_ADXSJD_GetOutBps	fid
0x0c1665f6	_ADXSJD_GetTotalNumSmpl	fid
0x0c16673c	_ADXSTMF_Destroy	fid
0x0c1667dc	_ADXSTM_OpenRange	fid
0x0c16689a	_ADXSTM_Close	fid
0x0c1668c2	_ADXSTM_Start	fid
0x0c1668ec	_ADXSTM_Stop	fid
0x0c166930	_ADXSTM_Tell	fid
0x0c166988	_ADXSTM_Seek	fid
0x0c1669ce	_ADXSTM_SetEos	fid
0x0c1669ee	_adxstm_sj_internal_error	fid
0x0c1669f8	_adxstmf_stat_exec	fid
0x0c166b56	_ADXSTMF_ExecHndl	fid
0x0c166b64	_ADXSTM_ExecServer	fid
0x0c166ba4	_ADXSTM_GetCurOfst	fid
0x0c166c06	_ADXSTM_GetFad	fid
0x0c166d48	_adxt_eos_entry	fid
0x0c166d70	_adxt_set_outpan	fid
0x0c166e18	_adxt_stat_decinfo	fid
0x0c167022	_adxt_stat_prep	fid
0x0c1670f4	_adxt_stat_playing	fid
0x0c16715a	_adxt_stat_decend	fid
0x0c167208	_adxt_RcvrReplay	fid
0x0c16748c	_adxf_purge_all	fid
0x0c167540	_ADXF_InitCache_P2_	fid
0x0c16779c	_mwRnaInit	fid
0x0c167b80	_mwRnaFlush	fid
0x0c167ba8	_mwlRnaStartCopy	fid
0x0c167be6	_mwlRnaIsCopyEnd	fid
0x0c167c74	_mwlRnaAddRdPos	fid
0x0c167cfe	_mwlRnaAddWrPos	fid
0x0c167e04	_mwlRnaAddFlshPos	fid
